idx,R,Rcom,Ra,p_tx_x,p_tx_y,p_rx_x,p_rx_y,jammer_x,jammer_y,jammer_dx,jammer_dy,agent1_x,agent1_y,agent1_phi,agent2_x,agent2_y,agent2_phi,agent3_x,agent3_y,agent3_phi,agent4_x,agent4_y,agent4_phi,agent5_x,agent5_y,agent5_phi,agent6_x,agent6_y,agent6_phi,agent7_x,agent7_y,agent7_phi,agent8_x,agent8_y,agent8_phi,sigma,seed
1,10.047286498801027,1.0,6.028371899280616,0.0,0.0,10.047286498801027,0.0,5.43786127853027,-0.6693263878638875,0.04898543818997264,0.08718042696234271,10.812916530961296,1.012605822607753,2.532833593577886,5.074162630896249,-2.2883161664298,1.2783469788850699,-0.6800903402889817,-1.393752740940107,1.6481633265414255,3.4068640270100135,2.9526894923633553,4.714680286095766,5.961518740730355,-3.8084917478034743,1.7618601881823626,3.224481552797408,5.181001715293151,3.048544801724996,1.3308107181802349,1.110766976774014,6.162153563995592,7.999249088967687,3.33447165954184,6.042270349771859,0.1,1
2,11.87970165286453,1.0,7.127820991718718,0.0,0.0,11.87970165286453,0.0,0.9688207632887506,1.0656809228612105,0.06027735656225652,0.07979122937934088,0.985598973032042,1.2940952350358805,3.2100095324814895,8.182282414476637,0.9263635491178098,4.731428336896716,2.3885994239568866,-4.366409200485146,0.929421561852132,9.715715252003408,-5.020246979393394,5.149866558942051,1.2839739418017588,-3.076841435477502,4.2932182483878645,5.507026132795267,6.812982896699079,4.945475938503115,6.698917425701316,-1.198068003760694,1.2039604632920315,0.766850750156407,-0.3090106221605361,5.041402708247953,0.1,1
3,11.506148385666322,1.0,6.903689031399793,0.0,0.0,11.506148385666322,0.0,9.564771596919527,-1.3118462322876954,-0.07705552375192902,-0.06373732234190502,2.714742907625034,-3.641455126876645,0.15387946498917343,6.978463374880235,-3.3999735723766693,4.231473267934168,6.319374104193876,-0.1315579796282192,5.7748041108792005,8.999042758821556,4.498815562214309,5.195096762274709,-0.06798613117219876,0.6533007371638565,5.563887929001686,10.73253375412478,-3.8767230921379134,4.149135224403537,2.511457520739947,1.710695344895961,1.5428503976869685,3.0435617509547206,-1.7076412555288782,4.828734715782696,0.1,1
4,8.658029065896406,1.0,5.194817439537843,0.0,0.0,8.658029065896406,0.0,6.607189015781284,0.593680712049244,-0.06124562456757753,0.07905044890022665,6.831788990054326,1.9646589957197016,5.091103903938757,2.370367069871409,-2.1705383879268867,2.147559587532021,1.172496179830024,2.948372732655883,3.415974892809603,3.989612374797684,-2.1688175990043286,1.2333697043981378,2.4717334678921823,-2.6914543746736226,6.25893968962975,3.968993206024502,0.16603588356930354,1.5281678318083756,6.1180329870064085,-1.9705656419017494,1.6139458959737658,2.0543175088245307,-2.488374730284896,0.4598667874783277,0.1,1
5,9.504954005712378,1.0,5.7029724034274265,0.0,0.0,9.504954005712378,0.0,2.0229488216998632,-1.1019111073596384,0.09199883147303353,0.03919457880366079,2.258900837632111,2.7335107147585447,4.8673583105517775,8.340746184159016,2.9584120028546357,4.970841199170346,5.867603710892936,3.6857940524928243,4.770624686794564,3.8317068155165037,4.269431143634021,3.7509845369933523,2.703160443672856,4.80729808501266,5.766030506768749,2.8768669206507695,4.484399367285005,4.3330740600930735,1.6993957383884868,-1.5969196678741975,3.143832173958728,8.511068671716286,-0.6757091141354195,0.48433185299202997,0.1,1
6,11.140341170387837,1.0,6.684204702232702,0.0,0.0,11.140341170387837,0.0,4.008149109772928,0.4245407685168101,0.08025217397359768,-0.059662287690897445,8.14600612571996,2.558426061379037,3.928633772022297,4.9669794264844835,-5.829562643422053,4.358160803729612,7.415541822993411,4.480958855730267,3.276838984707445,3.556311612022749,1.6135761325359532,1.9413044488174918,6.315298653161037,6.523663447216219,2.485354292917162,7.867514941219121,-3.5590378040609645,5.9120638629402205,2.7706643628471324,2.3137449972359803,1.2641969945507168,11.644206603223726,-0.9740541579030526,6.209162480423992,0.1,1
7,9.52597173055968,1.0,5.715583038335808,0.0,0.0,9.52597173055968,0.0,5.354087558405949,-0.33669265303213813,-0.09216452553005028,-0.03880335338370528,8.118379527821523,-2.2802439474842897,3.960403259856878,5.497979160078397,0.07800093192143602,2.2788915632260873,3.438251121203985,3.7906488920332304,4.780176913161953,10.39671292373464,-0.03448200559934323,0.1664073285407182,4.530146148294881,3.044886238786425,2.80740857339545,7.644905854741312,-4.0171182157752705,2.3364311698154347,1.7678343589225185,-2.3439381332484834,2.9975443826579053,5.664681889434671,-2.4543256198052488,0.8018644222842768,0.1,1
8,10.420546357110059,1.0,6.252327814266035,0.0,0.0,10.420546357110059,0.0,1.8218818275324595,-0.9246038498293008,0.09277195728396587,0.03732779047441751,-0.40976967739516024,-1.443403512426068,0.996230659924673,6.01056011290912,-5.290434764672368,5.98177631326529,0.44141953294579306,-0.8855948628082317,0.9698324761316475,2.6479982988168667,-2.162892139295472,3.2063298809641028,10.616989654274548,1.1690930174326892,0.9047967485126182,6.422471628384693,2.8901604376314713,4.507379489256752,4.428845224491902,-1.5262677629252548,1.7361258703451696,-0.33166410337025276,-2.631891164146524,0.8427886216787808,0.1,1
9,9.804155544685564,1.0,5.882493326811338,0.0,0.0,9.804155544685564,0.0,2.1221445665147645,-0.2560495165762542,0.09997206444120028,-0.0023635421224292817,1.2260265485395427,4.42861163926489,4.088295449447365,9.683021053367892,3.1874401056791664,3.8108027238027247,0.645462987085569,-3.0732223006022883,0.2139147023420923,4.588372089533851,4.810511863032762,2.6984028035554437,4.415526291850711,5.385556299163361,4.305261128485398,3.5427419451487285,5.535026539867078,0.9823549735009646,5.625188061011416,0.5096756252010565,2.4231597031508705,4.787115273130145,-2.018332170077954,0.12462161139717003,0.1,1
10,11.538086126472452,1.0,6.922851675883471,0.0,0.0,11.538086126472452,0.0,10.56090563555581,0.5109199402154312,-0.07569811100171192,-0.06534367598147889,8.396676994217183,2.8760516242592353,0.7333096573294269,5.001005233198974,0.6624144851307965,0.7110942195560718,2.4241910582013206,5.330050860304503,2.927544895009868,6.982149569105217,-1.2216550738423804,0.5786120361712198,3.9271014363245507,1.0314910032193743,3.969416091826866,11.680309721628149,3.3493661141188134,3.8728535797911916,11.15352090500172,-2.667038709109573,0.2015730582720895,2.8760761093697655,-2.796909116273853,5.073186954520742,0.1,1
