idx,R,Rcom,Ra,p_tx_x,p_tx_y,p_rx_x,p_rx_y,jammer_x,jammer_y,jammer_dx,jammer_dy,agent1_x,agent1_y,agent1_phi,agent2_x,agent2_y,agent2_phi,agent3_x,agent3_y,agent3_phi,agent4_x,agent4_y,agent4_phi,agent5_x,agent5_y,agent5_phi,agent6_x,agent6_y,agent6_phi,agent7_x,agent7_y,agent7_phi,agent8_x,agent8_y,agent8_phi,agent9_x,agent9_y,agent9_phi,agent10_x,agent10_y,agent10_phi,sigma,seed
1,12.047286498801027,1.0,7.228371899280615,0.0,0.0,12.047286498801027,0.0,7.511359714027681,0.8300493430268938,-0.06494576180915936,-0.07603977921475008,-0.8220048756483083,-1.6727886546183703,1.7618601881823626,4.705529116944585,2.407243793548845,3.048544801724996,7.707095553216422,-6.836103796478036,6.162153563995592,4.699504639527452,3.8130894082454523,6.042270349771859,1.5199333038379903,1.354670767820188,4.553989506659829,10.402211710964558,4.9066352304822525,3.4006286266266468,2.2303937486601524,2.644173092214206,1.7397587449451388,7.568554890795157,5.13119543907491,1.0094063411047631,5.93089717820799,1.196387982244177,6.094221105379693,6.038020258660906,-6.2745813580118845,3.2425545542113827,0.1,1
2,13.66919081916361,1.0,8.201514491498166,0.0,0.0,13.66919081916361,0.0,8.739142630809404,0.9151644994350292,0.03276427819314052,-0.09448016762518205,5.206479375701742,-0.11156474518767588,5.373549559144173,6.948117205409297,-5.961760226358883,5.411603808499792,10.160244958524654,4.453898261652265,5.507445005402515,7.702204567271975,-1.8550441537126963,2.9650962149903926,4.161392344990322,-5.999401806078149,1.7218968087939561,8.583851559573903,-7.3683318561162725,0.04455927328045018,9.099694085891791,5.895202343573636,4.057184043615356,8.18608359513752,-3.9583952403540628,4.523324060962534,9.543294988930255,7.01123688670915,5.250036224246081,11.936876248663626,2.8701723235782564,1.771090623316595,0.1,1
3,10.60209932168471,1.0,6.361259593010826,0.0,0.0,10.60209932168471,0.0,9.1954181445524,0.39640535250050113,-0.04746802433834479,-0.0880158319020749,5.424480682346011,4.415630168359447,1.1220002012206767,5.999532791225423,-5.97639997270966,2.48975089632114,6.28739160498965,4.016544885733838,0.03659701040273597,7.6881963754372435,-4.2609974330451745,1.6493029223637636,6.220254013831441,0.3822223107541258,2.6464073691117638,7.685280858830145,-4.644073201865457,0.6655227581977521,8.421666397344154,5.239584461567573,3.9782612700315196,1.2071635742038858,4.0863307852416275,2.3902761830455814,2.8638359041002426,5.46746000583162,4.557156215107045,3.4385459520484924,-4.8221128368687625,4.10836131360906,0.1,1
4,11.367178895760452,1.0,6.820307337456271,0.0,0.0,11.367178895760452,0.0,10.431572058515972,0.5688904663412426,-0.09927644451547181,-0.01200781263871353,2.1000701385922644,3.528176864447529,0.6894832285751655,3.027213499784568,1.4403919511535523,1.2770042836184223,2.217895620965624,-5.858844578063504,1.78320876141599,2.44815908144739,0.9195351588323991,1.9737614773354712,2.7252058594682937,-1.7878942251848748,1.966937706981462,6.669177284545693,-1.559861969873967,3.6235111838151846,5.173553947566669,-3.4251987295400053,6.105308177947733,1.7432685973514528,4.469005518249783,4.8673583105517775,0.28278356654307046,1.8151932246403784,4.970841199170346,4.0347860086737395,1.8074530589670836,4.770624686794564,0.1,1
5,10.308335234002154,1.0,6.185001140401292,0.0,0.0,10.308335234002154,0.0,6.612937137791805,-0.3570553821207374,-0.08183016552854357,0.05747890055986771,1.6311391464188096,2.504700365295436,6.124175560915542,4.354072192662195,2.7388930422767483,3.928633772022297,6.4438620255739645,-1.84739931455901,4.358160803729612,8.275899075880632,3.100632394952198,3.276838984707445,4.590134349992262,-5.451119791007735,1.9413044488174918,6.433400648842002,3.106253346294486,2.485354292917162,0.9220795431773103,3.390900950705085,5.9120638629402205,5.663034798155262,4.455178071925754,1.2641969945507168,6.4491468774409935,-2.006177320040396,6.209162480423992,0.4709482140565422,3.870602386244357,4.764576250490543,0.1,1
6,12.015211800778118,1.0,7.209127080466871,0.0,0.0,12.015211800778118,0.0,3.4557623775932322,0.8482814037785054,0.045150640074781735,-0.08922678802264214,6.939849317544163,-0.005705924762906417,2.3364311698154347,5.62143667531429,5.050003386445175,2.9975443826579053,10.149828141728378,-5.773857872641018,0.8018644222842768,2.9742791963050013,-2.373813183477519,1.3980518708601968,8.158066134861128,-5.853335832088492,3.5314742927914176,2.730736101127598,-3.503502960095109,2.4364252100675117,3.8626409219432425,2.505150239647015,4.974122639302769,6.472150392125751,-6.8424083133722675,3.802185326585247,6.929855834325811,0.15490160838478606,5.411498179416913,2.255696613886102,1.3026875718498607,4.601558852637978,0.1,1
7,10.300844447257617,1.0,6.18050666835457,0.0,0.0,10.300844447257617,0.0,0.964023615500178,0.2985734191598315,0.0679263788189778,-0.07338942063091058,10.941685241842595,-1.8003921489519852,3.3738950807311547,7.718512195523105,3.7460138496603173,2.833960902558731,-0.2752583509807547,-0.35173501746170044,6.014857902973205,7.928364260209964,3.5353417870620083,5.995109660626247,4.166460595183811,-4.732160958237108,5.004846817786289,4.963162467447313,1.1223067444236206,4.2197095543110565,6.927790109261184,1.9940491837118752,5.309436673169705,10.016604931920405,1.4465470880251887,5.8983516957927815,7.274169841072286,4.157463249429513,0.142111381824587,6.0304642173303264,2.298285523691907,0.7420770279353829,0.1,1
8,11.057358916529303,1.0,6.634415349917582,0.0,0.0,11.057358916529303,0.0,-0.4119115540187685,1.1092943432764717,0.09577767471009808,-0.02875129609472655,9.063479712833384,0.44280722663798183,0.5842859219806651,7.3342517859653125,1.0202494178740706,6.0518492107631126,6.723495332880678,5.584391746842294,4.733534526121307,0.9283293155096546,2.7343060252695395,2.122800562871488,0.4990925163802036,1.18278994933225,0.830504155581748,6.444486672203952,-0.8122988066832912,2.4298998551905804,3.760489164543959,3.9719728078568557,2.131224366586742,10.970585621758,0.7383856251210613,5.4942761088958125,6.737560845269661,-2.3281487510577046,2.6311028057246952,9.3415578969262,1.5610471358639628,0.5155039763248171,0.1,1
9,10.368355862756465,1.0,6.221013517653879,0.0,0.0,10.368355862756465,0.0,2.592279120630708,-0.3021269595402143,0.005042145180996688,0.09987280296443948,9.715165636634747,1.9797974161652727,3.502303285478634,9.947043891069875,-1.0815648902350954,3.1352243456171034,4.505236254212027,-0.8835263247939337,2.6669833583930487,10.466006035320492,-1.8304011437776524,3.617262204710092,1.9579957107346706,4.476773341422862,6.073718959703889,5.379408784220019,-5.948549287562749,2.8781987639656665,9.853477693456064,2.0344983227519418,5.261988132626535,7.786305146927241,4.476985768674474,0.35105390977150475,4.757089351265394,2.480839095547385,2.4227161892635736,4.27031379454619,-0.2989540912393505,3.5217030194203334,0.1,1
10,12.595403016047797,1.0,7.557241809628678,0.0,0.0,12.595403016047797,0.0,2.6848950083639966,0.8357411043837364,0.06016440888026262,-0.07987642896429821,11.832418470234837,1.665966456975431,0.7968005636124815,8.053185646051965,0.8047416433824228,5.066439779006894,7.810712617496638,0.8310732748467448,5.222904752353941,5.823571709645375,3.442175001918497,1.1173123505465368,3.8088641926125124,-1.2949941810243621,3.939230452996717,8.85661018920882,-7.0452691683831,1.2361766339084992,6.254998820040077,0.39379094702912976,1.5299098306201584,5.351896941471489,4.472077163358289,3.103929703543077,7.121679089744341,-1.6302387143291648,3.2812052067354327,6.143808625532854,-6.043884379985237,3.0098563455964764,0.1,1
