idx,R,Rcom,Ra,p_tx_x,p_tx_y,p_rx_x,p_rx_y,jammer_x,jammer_y,jammer_dx,jammer_dy,agent1_x,agent1_y,agent1_phi,agent2_x,agent2_y,agent2_phi,agent3_x,agent3_y,agent3_phi,agent4_x,agent4_y,agent4_phi,agent5_x,agent5_y,agent5_phi,agent6_x,agent6_y,agent6_phi,agent7_x,agent7_y,agent7_phi,sigma,seed
1,9.047286498801027,1.0,5.428371899280616,0.0,0.0,9.047286498801027,0.0,8.873010426633671,1.38497158099136,-0.05280640544143415,-0.08492045421660717,-0.5137095552589583,-1.6225291882669406,2.8494112760217813,6.553884485892918,0.35511090898378217,0.8422088226928,4.640339971501594,-5.285872230557813,2.532833593577886,1.5789784238026128,-0.7195523085520587,1.2783469788850699,2.8273613825784207,3.0978834802482176,1.6481633265414255,5.7045461794615715,-4.79536900758266,4.714680286095766,3.384522009811418,3.2802994346649292,1.7618601881823626,0.1,1
2,9.164907422189737,1.0,5.498944453313842,0.0,0.0,9.164907422189737,0.0,7.511803001481284,0.5498607180097714,-0.046470934108136,-0.08854632845644862,2.388119951163257,-1.8861716765400116,5.357250123160488,6.495575713544303,-1.094450691231065,3.725558292976942,9.831363916866096,1.3333884149398758,1.6342404620574311,0.695689181753973,-0.7057936681035784,5.27713123271619,2.771429742305835,0.4730557827691306,3.201257036844459,8.59554585071889,1.6578353146733025,3.2100095324814895,1.524638495416327,-3.759709177957818,4.731428336896716,0.1,1
3,7.766465036080541,1.0,4.659879021648325,0.0,0.0,7.766465036080541,0.0,0.19020599046212994,0.5203796614588168,0.03840490649869082,0.0923312685758558,3.254924785804711,4.12651716374285,4.017037533653233,5.919467944618781,0.0907932696768936,5.058308699090638,3.072382971402752,-1.0551753785352507,6.054922669216448,3.0733242131866056,-4.232593903159557,0.9457754028680412,6.097940906083329,-3.714482944540645,3.0298297924740503,3.0152306530648487,4.275524930883893,5.621665559451513,4.577255620906767,3.1249964087158535,2.656008658815972,0.1,1
4,10.307301318226884,1.0,6.18438079093613,0.0,0.0,10.307301318226884,0.0,4.444784036128052,1.1019615169265977,0.08342379386222218,-0.055140462617151324,7.81158872034212,-5.177207199028331,0.03659701040273597,7.725252353291906,4.317776073092134,1.6493029223637636,2.9846786582005085,2.164969144741216,2.6464073691117638,2.9462853596977796,4.95183545531443,0.6655227581977521,4.128480609538735,-2.6542152011224336,3.9782612700315196,7.600117680038929,5.080177826633586,2.3902761830455814,3.9224137779976864,0.9395748469236765,4.557156215107045,0.1,1
5,10.241097408425196,1.0,6.144658445055117,0.0,0.0,10.241097408425196,0.0,2.0814164504377723,-0.6485805331676068,0.09309976325745073,-0.036502521576003866,4.944491209760192,3.5880479593879087,2.8646861617141073,5.493857797065558,-4.515292665748067,3.6852033335017333,4.245082743887989,-2.577810498078178,5.2758939640606215,9.355856084300932,4.435459658690567,4.564568314368394,2.961155438208879,2.1260444565239234,2.293408275090805,2.3828781236815733,1.484473111546468,2.8173571026668163,4.274199414716133,-1.4307752483515759,2.310324533732506,0.1,1
6,8.252191435279752,1.0,4.951314861167851,0.0,0.0,8.252191435279752,0.0,6.9895926998395685,-1.1266190024535605,-0.09362464529703915,-0.035134396152539826,2.733802963099018,-3.492794533434778,4.932836375328,-0.7546178001422801,-0.010930475611771427,1.8535801469589548,7.982777365691637,2.0291130750028965,4.830335426435867,-0.2662931915141664,0.3193413433052119,3.3026276969528867,5.124540468287643,4.19725735694756,0.9364963505070206,6.697302398036545,2.8327301619104244,6.063071150875708,-0.6136350446073138,-0.18070455068404354,2.5235548207674237,0.1,1
7,7.751298970261873,1.0,4.650779382157124,0.0,0.0,7.751298970261873,0.0,8.539823083167242,-0.14327068134950777,-0.05865302792845192,0.08099273001216986,0.9885823242484233,-0.3928635308974217,2.2606079302536704,3.0647043440917248,2.0876551703700517,4.0307487599376435,0.49602541837019,2.6026316267520047,2.39377760999299,6.582590248573513,-1.0534164888273823,2.396990789155997,5.261464305280567,4.377428245443257,3.165487294375997,7.5431117749128145,-0.2719728547005126,0.10507258719398618,4.077697625223078,-3.8680827638908606,3.1012015734780554,0.1,1
8,10.620010283272517,1.0,6.37200616996351,0.0,0.0,10.620010283272517,0.0,6.391371203910481,-0.6371531934120129,-0.09373439797362809,-0.0348405315189293,4.745378514003562,-0.6036770401147793,0.8018644222842768,3.026854845169225,2.666539812919852,1.3980518708601968,5.74140925806881,-6.354274273419309,3.5314742927914176,8.527422461604894,0.5403991904675902,2.4364252100675117,-0.23657552637873636,1.925809274888005,4.974122639302769,1.8734056330273048,3.5751938725577928,3.802185326585247,-0.3514995917261672,0.8212179049882237,5.411498179416913,0.1,1
9,8.005070312684328,1.0,4.803042187610597,0.0,0.0,8.005070312684328,0.0,3.61059799755681,1.371883101760612,0.09910030667194651,0.013383916374744516,4.5120081441142785,1.214701003377603,0.9047967485126182,1.854678940601585,-4.195145162696149,4.507379489256752,0.8142654838941255,-1.5141237356113149,1.7361258703451696,6.2988582863332425,3.546834284868099,0.8427886216787808,7.339120843604679,-1.0372802369293528,0.2889459779075971,6.126404091715804,3.0980388280183053,1.0985240828911884,3.120154610252949,-0.05720280295138625,1.205106878853412,0.1,1
10,10.18618444187372,1.0,6.1117106651242326,0.0,0.0,10.18618444187372,0.0,2.204836088974232,-0.2560495165762542,0.09996337911183946,-0.002706074009087722,1.0322924409417267,-2.931846331358312,3.8108027238027247,4.727491812704982,5.606290218211502,0.2139147023420923,4.560283590637469,5.897568890871461,2.6984028035554437,4.873873719087186,0.8926272680331782,4.305261128485398,6.809877364485672,1.2100554439422417,0.9823549735009646,4.884483075671191,-3.6624338523068922,2.4231597031508705,4.0005150667877665,-1.517242750132231,0.12462161139717003,0.1,1
