idx,R,Rcom,Ra,p_tx_x,p_tx_y,p_rx_x,p_rx_y,jammer_x,jammer_y,jammer_dx,jammer_dy,agent1_x,agent1_y,agent1_phi,agent2_x,agent2_y,agent2_phi,agent3_x,agent3_y,agent3_phi,agent4_x,agent4_y,agent4_phi,agent5_x,agent5_y,agent5_phi,agent6_x,agent6_y,agent6_phi,agent7_x,agent7_y,agent7_phi,agent8_x,agent8_y,agent8_phi,agent9_x,agent9_y,agent9_phi,sigma,seed
1,11.047286498801027,1.0,6.628371899280616,0.0,0.0,11.047286498801027,0.0,10.715043922266588,0.04820575664363602,-0.036467894896495705,0.09311333224527057,5.666273228580393,-6.460540044466123,1.6481633265414255,3.078890250835096,-0.5973948711124127,4.714680286095766,2.4230094952718075,5.6626214505320505,1.7618601881823626,6.408706430622548,-3.594033379835219,3.048544801724996,4.108900193270936,4.074000805122387,6.162153563995592,-0.25114743966548314,1.7369991032539296,6.042270349771859,8.346759222625137,3.1635911178634695,4.553989506659829,1.4924715009678513,2.810022347651877,3.4006286266266468,5.840878745916423,1.053650765014388,1.7397587449451388,0.1,1
2,11.493959022150001,1.0,6.89637541329,0.0,0.0,11.493959022150001,0.0,0.08151318735690428,0.4371626867248435,0.08174331822213177,0.05760234306028966,0.6764172075567041,-3.3508867573661103,4.945475938503115,5.404643651244518,5.388621287647545,1.2039604632920315,9.281989272103733,-5.579460473888012,5.041402708247953,4.37718331710745,-0.0818251629402209,1.2021236811145144,0.7447590102946666,-0.3427713037209958,0.5124102071804619,5.835963548923686,-4.673124608011475,5.373549559144173,6.777258627535588,1.3798081542533873,5.411603808499792,8.086755933766756,-5.0027002774665625,5.507445005402515,3.1551904162417976,-5.816686499606487,2.9650962149903926,0.1,1
3,12.342276866001097,1.0,7.405366119600657,0.0,0.0,12.342276866001097,0.0,0.07188876545505639,-0.7125158617496955,0.09913925971562959,-0.01309225660598446,2.844945343093711,-2.0962976424799957,1.3299916326525307,9.566013310302916,0.5265642578620067,5.223053827391882,3.4320445029254767,-5.249566078105016,0.394068329593478,11.975291986828228,-3.2342794672151034,5.186692900370194,9.54553904266291,-6.438990498082213,1.0336296396343503,8.332481374757172,-1.8929593770538504,2.3571180964202516,3.425405519796413,-4.348012379342403,1.9901245943337187,6.366865607161364,7.001957890842196,4.3437987023661995,6.730048044534375,-4.782173315032008,1.1220002012206767,0.1,1
4,9.423684946829297,1.0,5.654210968097578,0.0,0.0,9.423684946829297,0.0,3.4650848998433257,-1.1707960079799098,0.09841454634607037,-0.017736320573816005,0.38101065806304213,-1.219050301017122,0.8084776370588383,5.86639243554503,3.290777563376218,2.3639762241682676,9.525790199751277,-0.11674001157831018,2.6447271221379838,4.906685492167751,4.567953486147226,4.1782192462473615,4.551677870057785,3.709543139232316,2.8646861617141073,9.430559445008269,2.337099674676575,3.6852033335017333,4.491523925833747,4.490087272465753,5.2758939640606215,5.131206791102658,-5.0723453143396915,4.564568314368394,3.64882721313934,-3.1300496212770565,2.293408275090805,0.1,1
5,10.135225955776525,1.0,6.0811355734659145,0.0,0.0,10.135225955776525,0.0,3.9779928356715515,-0.8043003646135847,-0.013664640815276278,0.099061988630299,3.8055610186637345,-3.1660641554827,4.830335426435867,1.6651848075034064,-0.0076198199303644685,3.3026276969528867,9.154532411207532,2.1502479113931408,0.9364963505070206,-0.9110459470025889,0.43466847124109725,6.063071150875708,6.306259000725318,5.207014337682414,2.5235548207674237,8.702939597508445,4.005084244027112,1.8550115373559517,-0.22739929830119987,-0.20187492965985693,5.3218477175709,6.0950354764700645,-4.584881085670214,0.7820073325879486,3.4421237825098903,5.5941252341560785,4.609284806505391,0.1,1
6,10.560298207759446,1.0,6.336178924655668,0.0,0.0,10.560298207759446,0.0,11.631207583918961,0.46469365449613664,-0.09364898519724817,0.03506946779644075,5.6064578706728625,-6.246973201353989,1.7936309312162055,2.091674995617627,3.864726099189262,4.701192087038066,1.955267008754808,-4.097822386610227,2.7821246482732915,1.9252955337760458,3.111705609548415,1.3149515720472944,2.690249028409417,2.3867581280963415,5.686298855924225,1.2962561626691373,-0.09521181196782245,0.10572894786244243,11.392457705243814,0.6446100446800069,1.907002828207893,2.440331047238942,0.11476573653055723,6.277064745309887,11.478867129832107,-1.1180699900495235,1.6471168981451434,0.1,1
7,12.04315513833393,1.0,7.225893083000358,0.0,0.0,12.04315513833393,0.0,12.300760103222974,-0.5300333530035392,-0.08260791836770806,-0.05635540633296935,5.0930158947797715,-0.7215435039028703,3.3929904695744773,9.129909062932823,-3.6970200382291654,4.862521279675041,5.534221401950717,-4.37930634013759,3.3252049691274075,2.0176780166841217,-2.9796823124710095,3.8426687760410814,5.417143176527129,2.509618639567751,0.21295129047256176,6.718239385789308,-3.336544832907968,1.1736593015898646,5.978432650930853,5.41708746036837,4.239198496305671,10.02807638469355,2.0481117945516747,3.584963098651965,12.276601759759275,-1.4865524161218029,0.996230659924673,0.1,1
8,10.10525205638061,1.0,6.063151233828366,0.0,0.0,10.10525205638061,0.0,3.8971697277850295,-1.4404975635901893,0.09135492635737669,-0.04067280947068057,4.002314251899523,-1.9564896948606882,1.6608955021880594,5.783614014813586,-1.0752805375461116,1.8116181819209116,7.402409386596403,-0.9517288216274076,0.6139655840156311,7.681204701244273,0.3760861300478704,4.655491302022212,8.327396742109533,3.0026552440854934,4.088295449447365,2.4518511977632533,3.133204894033028,3.8108027238027247,9.98850690115237,3.290736519250363,0.2139147023420923,0.2508214873839707,-3.466842442273677,2.6984028035554437,4.700487569380601,5.399858295094701,4.305261128485398,0.1,1
9,9.865814319996215,1.0,5.9194885919977285,0.0,0.0,9.865814319996215,0.0,9.030261423715851,0.5109199402154312,-0.07452081903158457,-0.06668318776769615,5.0135028170496865,-3.8109039767318973,3.9101101833572285,2.8201691793408044,3.430514393322458,0.7333096573294269,8.688017403193244,4.110120053968863,0.7110942195560718,2.410453303889863,2.175556863233016,2.927544895009868,4.471927869885027,0.7345745217280969,0.5786120361712198,8.724203504392541,-3.818013004762274,3.969416091826866,3.6484745028137313,0.7192848626523651,3.8728535797911916,6.5034448890910825,0.8898779491365589,0.2015730582720895,10.138785683515227,-2.578574923170246,5.073186954520742,0.1,1
10,9.654966617812672,1.0,5.792979970687603,0.0,0.0,9.654966617812672,0.0,0.5037600257869844,-0.8658046565038061,0.05896410169891694,-0.08076654450228622,4.675576742228025,0.8823831098138072,0.35105390977150475,3.417691004232145,-0.46118800409558314,2.4227161892635736,-0.4955124508950153,-2.0079105582114587,3.5217030194203334,0.1725249681205101,0.029644609064379157,3.897589001032578,-0.18655412634137836,2.5761030059888963,1.5709115599862444,1.783453999122215,-1.5680374439619036,2.508819429227821,9.75174515081704,-1.0468222909837024,5.95021524520852,3.3971241486496297,0.38570908670363363,4.0768495241602745,6.061105307408681,-2.0138997617870147,3.6754513372200934,0.1,1
