idx,R,Rcom,Ra,p_tx_x,p_tx_y,p_rx_x,p_rx_y,jammer_x,jammer_y,jammer_dx,jammer_dy,agent1_x,agent1_y,agent1_phi,agent2_x,agent2_y,agent2_phi,agent3_x,agent3_y,agent3_phi,agent4_x,agent4_y,agent4_phi,agent5_x,agent5_y,agent5_phi,agent6_x,agent6_y,agent6_phi,sigma,seed
1,8.047286498801027,1.0,4.828371899280616,0.0,0.0,8.047286498801027,0.0,6.0383994992330745,-0.6587737260418802,-0.093499882723984,0.035465080439796536,0.061911793763394396,2.5422451779824566,4.953843645140002,2.2786750135872897,-0.562053523943519,1.9050292966180866,8.656083645424054,0.81026337672423,2.8494112760217813,4.083154195797791,-2.695596357052013,0.8422088226928,0.9719229113755103,-0.7457121758620857,2.532833593577886,1.9139049066925788,3.852970244718554,1.2783469788850699,0.1,1
2,9.922948799204955,1.0,5.953769279522972,0.0,0.0,9.922948799204955,0.0,2.5809336567003522,1.0196445630942264,0.09305621162625266,-0.036613405711161076,-0.8473055464521417,-0.5884662959349203,0.24876938092549292,8.745288410077835,3.3726321689140275,3.3212242924482505,1.8350430618169842,-3.0676530040424277,2.8860924704059316,5.484263492991437,-3.088973315696364,0.39175395962332904,3.151785788945742,-1.5555443128597537,4.029583729416905,10.051048288395227,-2.9116217645968088,5.357250123160488,0.1,1
3,8.043555537866132,1.0,4.826133322719679,0.0,0.0,8.043555537866132,0.0,1.731119280333135,0.41799414019976355,0.07124126017653544,0.070176084590544,5.374958066931937,-3.9633512953996948,2.9650962149903926,4.6906967560100705,1.7314395114804635,1.7218968087939561,7.829868899298705,2.1421552659978977,0.04455927328045018,6.471364266373495,-3.1487054334126663,4.057184043615356,6.77753467669788,-3.27696837755911,4.523324060962534,5.529962715497453,-1.4793310335250136,5.250036224246081,0.1,1
4,9.854683491379884,1.0,5.91281009482793,0.0,0.0,9.854683491379884,0.0,3.121354381058848,0.5740111058332236,0.02505610173009483,-0.09681008091149981,3.866146283780477,-2.033816963307362,4.828734715782696,8.514022647940907,-1.9986253447675828,1.3299916326525307,7.52344665817134,-4.953856046500921,5.223053827391882,7.819298630087749,-2.5328497373521865,0.394068329593478,2.503360986574423,-3.8385009325699477,5.186692900370194,4.953197448846535,0.9249637691689763,1.0336296396343503,0.1,1
5,7.585024648867946,1.0,4.551014789320767,0.0,0.0,7.585024648867946,0.0,1.955443012145283,0.7893855976321595,0.09767930765608814,0.021418516657959377,3.7388117546378887,-0.3431526230857281,2.147559587532021,2.4682078278406063,-1.9190984056301978,3.415974892809603,1.1104323156379041,1.236930955921947,1.2333697043981378,4.7881103318782685,-1.0966299549147864,6.25893968962975,1.3491953131396883,-2.67283433551868,1.5281678318083756,4.830335196916716,-2.608097119331282,1.6139458959737658,0.1,1
6,6.514692849268678,1.0,3.9088157095612064,0.0,0.0,6.514692849268678,0.0,6.848910229103752,1.2635873017841834,-0.05945931357480753,-0.08040267426654857,2.904220835537156,-2.3714531996305177,1.78320876141599,1.580186443843474,1.9021895661456725,1.9737614773354712,0.23592783181446642,1.015488924984512,1.966937706981462,1.4785974871138063,1.9499020512737468,3.6235111838151846,5.567091528323008,1.9043102100289744,6.105308177947733,4.294582580010869,3.42834480150515,4.8673583105517775,0.1,1
7,8.001425722947484,1.0,4.800855433768491,0.0,0.0,8.001425722947484,0.0,6.731023299592343,-0.3297763441804147,-0.01983812479997063,-0.09801249310379158,3.628791538540745,1.2799681865962131,1.8550115373559517,4.395538908413545,-3.3319655111337148,5.3218477175709,1.8145604580883115,-0.35512217704881893,0.7820073325879486,5.037094694526734,1.4086607868751313,4.609284806505391,7.333555737250288,-0.7456878965171277,1.1801376628121387,0.5337937847321239,2.464809339599026,2.4660985602310794,0.1,1
8,8.501045937660427,1.0,5.100627562596256,0.0,0.0,8.501045937660427,0.0,1.7791077571752638,1.2150077124543888,-0.03931547517890339,-0.09194723166826195,8.486897849457112,-0.3141624586231714,3.165487294375997,4.4426677785264665,-3.678489820387469,0.10507258719398618,2.4462380148906737,2.1869605695701764,3.1012015734780554,2.2292965861134486,-2.491103889562975,6.104732875848484,0.6229867490161607,3.364625182042328,1.7936309312162055,2.5680823653513665,1.5504763382283209,4.701192087038066,0.1,1
9,7.214035706398043,1.0,4.328421423838826,0.0,0.0,7.214035706398043,0.0,8.222413027966324,-0.7943469401523433,-0.07532020189528243,-0.06577892661372556,0.7932355930114112,3.286276174322896,0.8018644222842768,3.757131972391976,-2.211073676238146,1.3980518708601968,7.540287318177159,0.6606341122033238,3.5314742927914176,0.42475391570336596,1.1049029614427284,2.4364252100675117,0.9140158944611634,2.8016078328437204,4.974122639302769,0.20616489596129073,0.493303719108096,3.802185326585247,0.1,1
10,7.005070312684327,1.0,4.203042187610596,0.0,0.0,7.005070312684327,0.0,1.2247352361288388,-0.9246038498293008,0.08767420619485025,0.048096086827338486,4.6291673762997165,0.2436114169259785,0.9698324761316475,5.097716682449212,3.8032803442728538,3.2063298809641028,2.094960841083793,-2.749242959801881,0.9047967485126182,0.16257078867328012,-1.5861642347526086,4.507379489256752,5.164258807555023,2.566650285894594,1.7361258703451696,6.641286385189107,-0.9757773135422848,0.8427886216787808,0.1,1
