idx,R,Rcom,Ra,p_tx_x,p_tx_y,p_rx_x,p_rx_y,jammer_x,jammer_y,jammer_dx,jammer_dy,agent1_x,agent1_y,agent1_phi,agent2_x,agent2_y,agent2_phi,agent3_x,agent3_y,agent3_phi,agent4_x,agent4_y,agent4_phi,agent5_x,agent5_y,agent5_phi,sigma,seed
1,7.047286498801027,1.0,4.228371899280616,0.0,0.0,7.047286498801027,0.0,2.840852706880215,-0.8896342779715511,0.09856731193202217,0.01686668368398014,5.457232258063403,-3.640700002013791,3.381254158776311,2.1724684558754057,0.8670495822130966,2.0717654764182005,-0.39640186814653466,-1.262644859153033,4.953843645140002,5.849534386897304,0.40682323912442026,1.9050292966180866,3.584365388790266,-2.7504583213771387,2.8494112760217813,0.1,1
2,8.00145869052021,1.0,4.800875214312126,0.0,0.0,8.00145869052021,0.0,4.229485154227575,-0.12199235134378883,0.028982479462114942,0.09570797189486405,1.543307119806359,-0.6511912277637862,0.7280051138837079,3.438389928361716,3.296460435858282,3.9175016711702146,6.531803662106324,4.024684937670313,4.880043932370009,8.62486102478018,-0.8843464185707062,3.8516133344290484,-0.06566298571952078,-0.41195136587245856,5.763551461051757,0.1,1
3,7.5653126765575,1.0,4.5391876059345,0.0,0.0,7.5653126765575,0.0,8.951976017091816,-0.12268922698413925,-0.07427838577119028,0.06695312843494498,-0.3989382822305627,-0.28653887598139344,4.945475938503115,3.849200492169193,-3.4946618582708515,1.2039604632920315,5.167699848659646,1.8549287266781214,5.041402708247953,5.545039980676537,-3.7681707753439735,1.2021236811145144,2.4639557276463995,-2.9595263187808367,0.5124102071804619,0.1,1
4,5.028367314412665,1.0,3.017020388647599,0.0,0.0,5.028367314412665,0.0,6.222870614719237,0.6584214889106598,-0.0811742381572103,0.05840156727003572,0.9609917861002373,-1.8615081671961222,5.621665559451513,3.3821369537619863,-2.408229412811208,2.656008658815972,5.200490499151442,-0.6240599613349629,3.7039506950385594,3.4514205412992953,1.2989823511598801,0.15387946498917343,1.1232716018461184,0.15610280954306874,4.231473267934168,0.1,1
5,8.074067995585018,1.0,4.844440797351011,0.0,0.0,8.074067995585018,0.0,5.856072572813183,0.461598033205183,-0.09994733442434761,-0.0032450487619788138,2.4595537788054243,1.5745689659014401,0.03659701040273597,2.2387129851358702,4.034216607857087,1.6493029223637636,3.5999099973760416,-1.1317353322623462,2.6464073691117638,5.946754508561924,3.9656041593432283,0.6655227581977521,2.4750169943292355,1.191997989526765,3.9782612700315196,0.1,1
6,8.469282022568796,1.0,5.081569213541278,0.0,0.0,8.469282022568796,0.0,3.8613909702748552,0.2595549804765942,0.08962636220632443,0.04435217241196581,8.273652993961692,-0.09794753338160965,4.794877983170314,4.429572657710177,4.570031297756609,4.384994629291034,4.106489949063398,2.968083357269913,0.8084776370588383,7.592228665935412,1.6629556429473347,2.3639762241682676,4.124302113406837,2.2487043712741044,2.6447271221379838,0.1,1
7,7.905894441249481,1.0,4.743536664749689,0.0,0.0,7.905894441249481,0.0,3.955765124406059,-1.2687485744983837,0.003406022760127605,0.09994197821214815,3.348772985510353,2.801437677984922,4.8673583105517775,2.707334712429129,2.921964690366262,4.970841199170346,2.8430565785577757,2.653639442579802,4.770624686794564,2.560558419684315,-0.7282914763610802,3.7509845369933523,6.057701332767998,-0.3783868166292526,5.766030506768749,0.1,1
8,5.851323981361338,1.0,3.5107943888168025,0.0,0.0,5.851323981361338,0.0,4.9222975274334235,-0.3297763441804147,-0.024080299558269343,-0.09705740143432656,1.6633137866600833,-0.20505790982881508,5.3218477175709,4.405725235634055,2.0117170995937284,0.7820073325879486,5.961348424435404,-0.6792023253555622,4.609284806505391,1.3715303532649197,1.1049113319566977,1.1801376628121387,2.062507228427961,2.954758271109257,2.4660985602310794,0.1,1
9,7.501045937660427,1.0,4.500627562596256,0.0,0.0,7.501045937660427,0.0,8.289570050565796,-0.14327068134950777,-0.05858449089453759,0.08104231873921083,4.881829638910185,3.5735032558907984,2.39377760999299,6.991827020476615,-0.2403696742389788,2.396990789155997,3.881019027117636,-2.4982637978606568,3.165487294375997,1.949157147237825,2.1834223106456987,0.10507258719398618,0.9998445169291501,-3.390132767442709,3.1012015734780554,0.1,1
10,8.620010283272517,1.0,5.1720061699635105,0.0,0.0,8.620010283272517,0.0,4.844890486389165,-0.33669265303213813,-0.09378340762381437,-0.03470839170093417,3.7816499801276597,-0.41347885351710845,0.1664073285407182,5.292611204675402,-2.6745545839058047,2.80740857339545,0.7787788362620911,-3.7754511382882616,2.3364311698154347,2.5877246162155263,2.011488072930382,2.9975443826579053,4.632812921997989,-4.754727866239164,0.8018644222842768,0.1,1
